taxonID	vernacularName	language	countryCode	locality	transliteration
316443	Chile eriococcin	English			
316444	Kiritchenko's felt scale	English			
316450	box scale	English			
316470	isis scale	English			
316473	Peony Scale	English	058	world	
316473	Japanese camellia scale	English			
316485	gingging scale	English			
316551	oyster scale	English			
316551	mango scale	English			
316551	Oleander scale	English			
316551	false oleander scale	English			
316551	Fullaway oleander scale	English			
316551	magnolia white scale	English			
316609	Oleander scale	English			
316609	waratah scale	English			
316609	white palm scale	English			
316684	Indian wax scale	English			
316691	cochenille du mûrier	French			
316691	cochinilla blanca del duraznero o Diaspis	Spanish			
316691	mulberry scale	English			
316691	west indian peach scale	English			
316691	West Indian scale	English			
316691	white peach scale	English			
316691	white plum scale	English			
316691	white scale	English			
316739	white prunicola scale	English			
316769	cochenille du mûrier	French			
316769	cochinilla blanca del duraznero o Diaspis	Spanish			
316769	mulberry scale	English			
316769	west indian peach scale	English			
316769	West Indian scale	English			
316769	white peach scale	English			
316769	white plum scale	English			
316769	white scale	English			
316812	DeLotto iceplant scale	English	US	USA	
316815	flathead scale	English			
316816	bowrey scale	English			
316816	bowrey scale	English	032	throughout the world	
316843	Brown pseudoparlatoria scale	English			
316872	false parlatoria scale	English			
316872	parlatoria-like scale	English			
316872	acalypha scale	English			
316872	gray scale	English			
316877	false parlatoria scale	English			
316877	parlatoria-like scale	English			
316891	false parlatoria scale	English			
316891	parlatoria-like scale	English			
316930	Oak scale	English			
316940	mango scale	English			
316992	bol'shaya ephedrovaya shitovka	Russian	RU	Russia	
317002	polinnaya shitovka	Russian	RU	Russia	
317002	shitovka Kirichenko	Russian	RU	Russia	
317023	chiligovaya shitovka	Russian	RU	Russia	
317026	dearness scale	English	130	U.S.A.: California, Florida	
317042	cottony grass scale	English			
317085	silver-leaf-tree chionaspis	English			
317093	cottony camellia scale	English			
317093	Pulvinaria	Esperanto			
317121	nebulose scale	English			
317124	Arizona rugaspidiotus scale	English			
317139	escama del sauce	Spanish			
317139	large snow-scale	English			
317139	lychee bark scale	English			
317219	brownish euphorbia scale	English	072	U.S.A.: California	
317299	atriplex scale	English			
317305	dalea scale	English			
317339	Kellogg scale	English			
317387	bigelovia scale	English	072	U.S.A.: California	
317413	small spruce-bud scale	English			
317413	spruce bud scale	English			
317473	willow scale	English			
317507	mistletoe scale	English			
317584	fasciola scale	English			
317640	citrus snow scale	English			
317640	cochinilla acanalada de los citricos	Spanish			
317640	cochonilha branca da laranjeira	Portuguese			
317640	guagua nevada de los cítricos	Spanish			
317640	orange chionaspis	English			
317640	la escama de nieve en citricos	Spanish			
317640	white louse	English			
317640	orange snow scale	English			
317640	white louse scale	English			
317640	white snow scale	English			
317666	cochenille du fusain	French			
317666	euonymus scale	English			
317666	spindle berry scale	English			
317666	spindle tree hard scale	Russian			
317703	arrowhead scale	English			
317703	arrow-head scale	English			
317703	yanon scale	English			
317703	escama de Yanon	Spanish			
317703	yanone scale	English			
317734	dentate scale	English			
317801	mesquite scale	English			
317817	iceplant scale	Eng	032	throughout the world	
317837	seashore eriococcin	English			
317845	arenariae eriococcin	English			
317882	gum tree scale	English	059	United States of America	
317882	blue gum scale	English			
317882	common gum scale	English			
317882	rice bubble scale	English			
317892	pittosporum eriococcin	English			
317893	smooth felt scale	English			
317895	Polish felt scale	English			
317917	Barr eriococcin	English			
317953	Mount Diablo eriococcin	English			
317953	grass eriococcin	Eng			
317981	Davidson eriococcin	English			
317984	Denno eriococcin	English			
317986	desert felt scale	English			
317993	sundew eriococcin	English			
318003	pointed hair eriococcin	English			
318021	Froebe eriococcin	English			
318055	Kempton eriococcin	English			
318055	Howell eriococcin	Eng			
318057	Kempton eriococcin	English			
318057	Hoy eriococcin	English			
318076	large pore eriococcin	English			
318080	middle seta eriococcin	English			
318085	small seta eriococcin	English			
318094	single seta eriococcin	English			
